NR	ID	LOC	COM	RANK	OLD_ID	X_UTM32	Y_UTM32	X_LAM93	Y_LAM93	X_WGS84	Y_WGS84	ELEV
43	ARA_AP_043	ARA	AP	043		294869	4993707	967064	6446611	6.39428	45.06709	2630
44	ARA_AP_044	ARA	AP	044		294868	4993705	967063	6446610	6.39426	45.06708	2630
45	ARA_AP_045	ARA	AP	045		294929	4993780	967118	6446689	6.39501	45.06777	2630
46	ARA_AP_046	ARA	AP	046		294930	4993780	967120	6446689	6.39502	45.06777	2630
47	ARA_CF_047	ARA	CF	047		294909	4993777	967099	6446684	6.39476	45.06773	2630
48	ARA_AP_048	ARA	AP	048		294936	4993791	967125	6446700	6.39509	45.06787	2630
49	ARA_SH_049	ARA	SH	049		294940	4993711	967135	6446621	6.39518	45.06715	2630
50	ARA_SH_050	ARA	SH	050		295000	4993721	967194	6446636	6.39593	45.06726	2630
51	ARA_SH_051	ARA	SH	051		294955	4993758	967146	6446669	6.39535	45.06758	2630
52	ARA_CR_052	ARA	CR	052		294948	4993782	967138	6446693	6.39525	45.06779	2630
53	ARA_FG_053	ARA	FG	053		295004	4993740	967196	6446655	6.39598	45.06743	2630
54	ARA_CR_054	ARA	CR	054		294990	4993781	967180	6446694	6.39578	45.06779	2630
55	ARA_SH_055	ARA	SH	055		294900	4993745	967092	6446652	6.39465	45.06744	2630
56	ARA_FG_056	ARA	FG	056		294779	4993719	966974	6446617	6.39313	45.06718	2630
57	ARA_PA_057	ARA	PA	057		294782	4993701	966978	6446599	6.39317	45.06701	2630
58	ARA_PA_058	ARA	PA	058		294807	4993736	967001	6446636	6.39348	45.06734	2630
59	ARA_SH_059	ARA	SH	059		294817	4993704	967013	6446604	6.39362	45.06705	2630
60	ARA_FQ_060	ARA	FQ	060		294812	4993784	967002	6446684	6.39352	45.06777	2630
61	ARA_SH_061	ARA	SH	061		294832	4993778	967022	6446680	6.39378	45.06772	2630
62	ARA_PA_062	ARA	PA	062		294831	4993726	967025	6446628	6.39379	45.06725	2630
63	ARA_FG_063	ARA	FG	063		294830	4993736	967023	6446638	6.39377	45.06734	2630
64	ARA_FG_064	ARA	FG	064		294906	4993662	967104	6446570	6.39476	45.06670	2630
65	ARA_FG_065	ARA	FG	065		294876	4993772	967066	6446677	6.39434	45.06768	2630
66	ARA_FG_066	ARA	FG	066		294894	4993692	967091	6446598	6.39460	45.06697	2630
67	ARA_FG_067	ARA	FG	067		294880	4993676	967078	6446582	6.39443	45.06682	2630
68	ARA_FG_068	ARA	FG	068		294900	4993699	967096	6446606	6.39467	45.06703	2630
69	ARA_FG_069	ARA	FG	069	ARA_FG_077	294894	4993832	967080	6446738	6.39454	45.06822	2630
70	ARA_SR_070	ARA	SR	070	ARA_sr	294879	4993862	967062	6446767	6.39434	45.06849	2630
71	ARA_SR_071	ARA	SR	071		294897	4993868	967080	6446774	6.39457	45.06855	2630
72	ARA_KS_072	ARA	KS	072		294887	4993843	967072	6446749	6.39445	45.06832	2630
73	ARA_SH_073	ARA	SH	073		294970	4993731	967163	6446643	6.39555	45.06734	2630
74	ARA_FG_074	ARA	FG	074		294858	4993785	967048	6446688	6.39410	45.06779	2630
75	ARA_FG_075	ARA	FG	075		294864	4993795	967053	6446699	6.39418	45.06788	2630
76	ARA_KS_076	ARA	KS	076		294948	4993837	967134	6446747	6.39523	45.06829	2630
77	ARA_SH_077	ARA	SH	077		294893	4993770	967084	6446676	6.39456	45.06767	2630
